employee_name,user_id,O,C,E,A,N,personality_average
Cailin Casey Mckee,CCM0136,16,16,39,40,29,28.0
Nina Camille Hodges,NCH0179,17,12,40,17,25,22.2
Nicolas Brandon Hendrix,NBH0256,41,43,14,21,22,28.2
Olivia Rose Galloway,ORG0339,50,28,46,47,20,38.2
Forrest Rashad Richards,FRR0832,43,40,25,19,30,31.4
Miriam Shoshana Donovan,MSD0939,24,37,15,42,31,29.8
Olivia Quynn Hardy,OQH0183,34,38,18,33,23,29.2
Bethany Stephanie Haynes,BSH0445,38,22,30,15,21,25.2
Kennedy Shad Parker,KSP0357,41,40,29,19,24,30.6
Nigel Gareth Ochoa,NGO0690,43,41,41,17,24,33.2
Vincent Craig Cunningham,VCC0396,21,45,16,37,23,28.4
Wesley Dustin Dickerson,WDD0366,43,42,17,19,28,29.8
Kai Penelope Peck,KPP0452,44,46,44,16,19,33.8
Raymond Tate Osborne,RTO0313,44,45,25,17,27,31.6
Ariel Bertha Murphy,ABM0845,45,21,35,50,29,36.0
Vance Ira Alston,VIA0063,40,34,19,50,33,35.2
Benjamin Ignatius Hooper,BIH0745,43,39,50,27,25,36.8
Clinton Coby Wolfe,CCW0031,33,47,30,39,33,36.4
Illana Yvette Bradshaw,IYB0918,17,21,42,14,30,24.8
Orla Ruth Mckenzie,ORM0669,44,39,28,39,36,37.2
Mikayla Jaden Barron,MJB0588,39,24,15,47,38,32.6
Arthur Lucian Bonner,ALB0892,25,19,44,22,30,28.0
Leah Idola Moran,LIM0674,18,13,35,49,20,27.0
Lacota Helen Nash,LHN0151,13,15,19,32,26,21.0
William Theodore Reeves,WTR0563,47,45,46,15,31,36.8
MacKenzie Kristen Stewart,MKS0204,21,30,21,16,31,23.8
Armando Albert Walter,AAW0353,49,45,19,25,34,34.4
Willow Jaime Daniel,WJD0576,40,20,23,38,26,29.4
Irene Lacota Huffman,ILH0958,28,17,20,19,24,21.6
Tallulah Liberty Kirby,TLK0993,41,36,40,35,22,34.8
William Aladdin Bennett,WAB0143,43,43,24,22,33,33.0
Rashad Aristotle Guerrero,RAG0275,23,38,35,41,32,33.8
Leilani Quail Callahan,LQC0479,27,38,34,17,36,30.4
Kai Wynne Craft,KWC0004,23,38,39,20,27,29.4
Cora Jane Kinney,CJK0200,40,29,24,38,31,32.4
Flynn Edward Brennan,FEB0306,40,42,26,25,31,32.8
Indira Jocelyn Mack,IJM0776,41,35,19,41,32,33.6
Nicolas Kadeem Hayden,NKH0807,45,44,40,22,20,34.2
Jade Maris Coleman,JMC0925,33,10,23,19,31,23.2
Stephanie Briar Harrington,SBH0537,34,21,14,13,33,23.0
Julie Jaime Burns,JJB0700,15,19,39,37,28,27.6
Amaya Iola Sawyer,AIS0405,40,45,14,37,35,34.2
Hilda Alice Hahn,HAH0760,34,17,22,37,30,28.0
Aladdin Hu Day,AHD0848,24,30,49,16,30,29.8
Lila Dana Mcintyre,LDM0587,49,20,23,21,26,27.8
Armand Jasper Nicholson,AJN0607,45,42,16,47,23,34.6
Bevis Brady Sheppard,BBS0039,44,37,34,21,40,35.2
Emerald Imani Schmidt,EIS0041,41,44,17,48,30,36.0
Melodie Lee Glenn,MLG0475,45,16,18,19,25,24.6
Hadley Rhona Dillon,HRD0635,24,35,18,32,24,26.6
Ethan Perry Wiggins,EPW0434,32,36,38,22,33,32.2
Jena Audrey Malone,JAM0382,25,23,41,17,23,25.8
Noble Clinton Klein,NCK0295,31,30,38,36,34,33.8
Luke Jacob Talley,LJT0817,39,43,38,39,24,36.6
Chandler Ashton Madden,CAM0102,31,44,19,15,27,27.2
Suki Ori Grant,SOG0411,26,19,21,24,23,22.6
Kameko Signe Harrison,KSH0569,15,39,23,14,22,22.6
Bruno Donovan Ingram,BDI0533,37,36,15,41,19,29.6
Paula Madaline Jackson,PMJ0564,30,21,40,14,39,28.8
Hedda Grace Gordon,HGG0240,20,26,24,36,31,27.4
Mari Gretchen Shaw,MGS0974,17,39,39,40,27,32.4
Dominic Howard Mcconnell,DHM0937,43,22,21,15,24,25.0
Evelyn Nevada Curtis,ENC0234,21,23,32,19,23,23.6
Colin Evan Brown,CEB0210,42,24,44,23,34,33.4
Yvette Jeanette Vang,YJV0699,17,25,30,13,31,23.2
Brittany Mona Terry,BMT0528,33,25,39,25,30,30.4
Caleb Jonas Chang,CJC0494,40,39,39,42,42,40.4
Sean Omar Burgess,SOB0360,42,22,40,16,32,30.4
Glenna Caryn Sharpe,GCS0571,22,18,16,23,32,22.2
Beck John Peters,BJP0134,42,17,44,21,39,32.6
Kirby Bo Pollard,KBP0008,23,18,40,11,34,25.2
Fitzgerald Len Merrill,FLM0213,20,41,46,15,24,29.2
Rhonda Rhona Parsons,RRP0568,43,50,38,18,33,36.4
Maxwell Clark Faulkner,MCF0600,39,49,13,26,27,30.8
Shelly Audra Ayala,SAA0999,20,17,34,11,36,23.6
Teagan Hedy Romero,THR0873,37,44,21,40,38,36.0
Kimberley Roary Maldonado,KRM0541,40,20,38,36,23,31.4
Kenneth Steel Porter,KSP0966,42,36,19,24,35,31.2
Lionel Omar Fisher,LOF0311,41,15,36,10,32,26.8
Montana Basia Roberts,MBR0724,33,44,18,35,31,32.2
Felicia Sloane Cabrera,FSC0601,37,30,37,15,30,29.8
Medge Liberty Petersen,MLP0668,40,17,16,43,33,29.8
Charity Uta Daniels,CUD0795,12,40,30,44,24,30.0
Aurora Katell Rhodes,AKR0057,50,41,20,18,30,31.8
Guy Zeus Chandler,GZC0735,44,16,15,27,25,25.4
Hadassah Leah Harris,HLH0512,15,42,36,22,32,29.4
Norman Jackson Beck,NJB0243,23,35,37,24,34,30.6
Gregory Curran Sutton,GCS0518,41,36,23,38,21,31.8
Nicole Macey Craig,NMC0486,42,10,23,21,27,24.6
Keegan Marvin Benson,KMB0922,43,43,17,24,27,30.8
Cecilia Freya Morgan,CFM0767,46,23,22,35,29,31.0
Holmes Arden Day,HAD0246,44,39,32,45,38,39.6
Alexa Nadine Poole,ANP0555,13,40,42,23,28,29.2
Leslie Briar Fields,LBF0214,18,44,18,38,28,29.2
Dacey Jorden Bowen,DJB0159,20,37,27,38,37,31.8
Baxter William Price,BWP0202,20,36,15,25,28,24.8
Flavia Fiona Cannon,FFC0891,38,10,39,50,39,35.2
Amal Judah Rich,AJR0932,46,30,35,12,29,30.4
Blair Deborah Vaughn,BDV0168,45,31,19,21,31,29.4
Cassady Quincy Hampton,CQH0730,21,18,37,49,27,30.4
Jena Chanda Rollins,JCR0289,32,43,33,33,29,34.0
Addison Edward Snyder,AES0827,39,40,34,38,23,34.8
Sydnee Leilani Parsons,SLP0762,26,13,40,18,26,24.6
Cheyenne Lesley Dominguez,CLD0894,19,21,50,16,36,28.4
Leo Chaney Daugherty,LCD0622,30,26,13,14,26,21.8
Caleb Mason Ball,CMB0912,46,43,16,22,31,31.6
Zenia Kiona Stevenson,ZKS0899,47,20,42,43,30,36.4
James Cain Vargas,JCV0245,40,44,22,20,27,30.6
Ali Murphy Hurley,AMH0794,43,42,33,40,31,37.8
Francis Kane Buckner,FKB0163,39,35,25,39,22,32.0
Amena Karyn Christian,AKC0924,40,44,35,37,27,36.6
Ivory Leandra Rogers,ILR0304,20,22,18,46,30,27.2
Arthur John Floyd,AJF0370,37,33,11,15,36,26.4
Octavius Kelly Castaneda,OKC0107,32,40,16,47,35,34.0
Oren Clinton Sharpe,OCS0865,29,24,43,35,32,32.6
Urielle Jane Carter,UJC0737,16,12,12,38,25,20.6
Marshall Benjamin Wilcox,MBW0809,43,45,44,18,19,33.8
Martina Cassandra Fields,MCF0327,39,41,24,44,25,34.6
Sylvester Guy Sanders,SGS0268,47,45,30,19,22,32.6
Brian Nathaniel Greer,BNG0237,39,36,36,47,27,37.0
Olympia Shafira Harrison,OSH0655,16,21,42,39,28,29.2
Catherine Savannah Bullock,CSB0080,35,19,39,34,36,32.6
Ella Rachel Hess,ERH0449,44,15,35,17,25,27.2
Eagan Gannon Koch,EGK0893,21,30,11,47,27,27.2
Maggy Melissa Burt,MMB0488,21,18,16,24,27,21.2
Abel Adam Morton,AAM0658,43,35,37,36,22,34.6
Eliana Stephanie Albert,ESA0642,32,14,44,30,32,30.4
Chandler Raymond Kirk,CRK0916,32,46,26,19,32,31.0
Bruno Beau Hoover,BBH0810,40,25,10,21,32,25.6
Jessica Rachel Freeman,JRF0835,44,33,18,37,18,30.0
Sloane Jade Cochran,SJC0333,22,39,31,36,29,31.4
Halla Cathleen Simmons,HCS0003,35,28,14,15,30,24.4
Edan Marsden Briggs,EMB0531,31,41,31,36,36,35.0
Jane Ignacia Mcdonald,JIM0095,10,18,21,15,35,19.8
Kay Janna Snider,KJS0618,19,15,20,10,37,20.2
Eaton Burton Crane,EBC0390,40,40,40,22,33,35.0
Willa Giselle Stanton,WGS0516,11,20,39,20,29,23.8
Nissim Gil French,NGF0157,45,38,22,46,32,36.6
Katell Amethyst Thornton,KAT0489,22,41,36,23,26,29.6
Cora Clementine Higgins,CCH0685,47,24,42,34,29,35.2
Doris Mona Michael,DMM0623,36,27,21,39,30,30.6
Sylvia Ariana Head,SAH0599,13,22,44,18,22,23.8
Connor Phelan Guerra,CPG0322,17,13,19,24,36,21.8
Orson Barrett Houston,OBH0499,35,18,41,16,34,28.8
Sage Nichole Savage,SNS0129,26,10,43,35,30,28.8
Philip Keith Barron,PKB0429,34,42,43,40,22,36.2
Nicole Aurelia Hanson,NAH0503,33,17,23,35,38,29.2
Felicia Rhona Butler,FRB0023,45,14,12,14,14,19.8
Amir Hayden Gray,AHG0634,31,36,42,41,27,35.4
Chadwick Wayne Bond,CWB0065,50,33,14,20,23,28.0
Aurora Tatiana Payne,ATP0662,17,16,41,20,39,26.6
Dalton Perry Mejia,DPM0423,37,38,38,15,27,31.0
Walter Kaseem Foley,WKF0012,37,44,20,45,23,33.8
Jarrod Malik Burris,JMB0308,41,44,34,14,32,33.0
Amity Kendall Foley,AKF0709,42,31,29,22,32,31.2
Jermaine Mannix Hansen,JMH0543,44,25,37,13,34,30.6
Camille Julie Freeman,CJF0802,36,39,38,43,21,35.4
Ignatius Reese Morton,IRM0931,44,46,33,35,30,37.6
Fulton Quinn Avery,FQA0854,41,38,30,34,26,33.8
Cecilia Yuri Ashley,CYA0506,16,17,44,14,31,24.4
Gay Ria Cantu,GRC0145,30,43,24,46,27,34.0
Benjamin Lewis Sweeney,BLS0678,35,17,43,28,31,30.8
Harlan Jason Benjamin,HJB0742,41,40,16,21,30,29.6
Kimberley Kiona Sosa,KKS0119,15,28,39,33,27,28.4
Raymond Arsenio Blackwell,RAB0589,36,35,26,14,31,28.4
Demetrius Barry Bullock,DBB0384,40,41,28,37,27,34.6
Teagan Raven Kennedy,TRK0914,40,19,14,33,30,27.2
Blossom Scarlett Aguirre,BSA0431,50,41,19,40,29,35.8
Rachel Hermione Le,RHL0992,36,10,39,37,36,31.6
Caldwell Ian Maxwell,CIM0926,31,25,41,17,31,29.0
Cassidy Florence Gibbs,CFG0959,42,21,24,17,20,24.8
Vera Mollie Jenkins,VMJ0147,23,28,37,22,24,26.8
Sawyer Abel Turner,SAT0194,14,19,36,23,35,25.4
Harper Basil Obrien,HBO0413,41,35,18,15,18,25.4
Declan Zachery Caldwell,DZC0228,37,37,34,21,38,33.4
Theodore Eagan Bass,TEB0251,44,50,22,13,36,33.0
Maryam Nelle Ruiz,MNR0829,41,33,40,15,23,30.4
Daryl Ocean Patel,DOP0562,42,16,37,39,31,33.0
Uriel Axel Diaz,UAD0771,46,34,15,30,31,31.2
Ayanna Leandra Dunlap,ALD0544,16,18,18,13,32,19.4
Lysandra Chastity Brennan,LCB0664,16,19,36,24,32,25.4
Hyacinth Clare Lindsay,HCL0113,43,22,40,39,34,35.6
Tamara Shaeleigh Best,TSB0437,26,23,16,30,26,24.2
Elton Zeus Horton,EZH0736,44,41,37,19,31,34.4
Josiah Chester Gray,JCG0316,47,36,32,25,33,34.6
Malcolm Sebastian Garrison,MSG0839,42,46,19,39,29,35.0
Lionel Jasper Johnston,LJJ0905,43,36,12,22,30,28.6
Hall Colorado Morin,HCM0267,36,45,39,20,32,34.4
Malachi Thor Butler,MTB0620,38,44,41,50,28,40.2
Clayton Clark Humphrey,CCH0182,42,44,47,23,29,37.0
Cole Aaron Mcfarland,CAM0681,41,43,45,10,28,33.4
Lyle Brady Hayes,LBH0942,40,42,23,30,29,32.8
Cedric Alexander Bowers,CAB0388,37,33,23,40,36,33.8
William Graham Rowe,WGR0833,38,46,24,38,42,37.6
Mohammad Taylor Terrell,MTT0901,41,34,30,40,30,35.0
Gisela Quintessa Fischer,GQF0659,40,16,30,29,28,28.6
Callum Scott Parrish,CSP0197,37,44,17,13,26,27.4
Octavia May Maddox,OMM0944,17,14,27,21,29,21.6
Irma Melanie Patrick,IMP0530,40,17,42,50,32,36.2
Owen Ross Burks,ORB0473,38,44,46,38,38,40.8
Jenette McKenzie Lynn,JML0909,24,32,39,40,21,31.2
Noble Devin Mack,NDM0417,44,36,50,12,34,35.2
Ferdinand Rashad Lee,FRL0511,20,30,47,20,30,29.4
Lynn Adena Pratt,LAP0338,42,23,33,45,31,34.8
Harper Clark Vazquez,HCV0478,46,36,18,12,24,27.2
Kimberley Joy Anderson,KJA0152,16,16,39,38,34,28.6
Erasmus Cameron Franco,ECF0828,40,49,39,40,35,40.6
Buffy Vivien Nichols,BVN0514,36,23,30,23,22,26.8
Bruno Stewart Silva,BSS0463,32,40,40,38,28,35.6
Jonathan John Martinez,JJM0203,37,36,18,30,28,29.8
Adam Ishmael Mcdaniel,AIM0627,36,39,16,41,23,31.0
Rashad August Hatfield,RAH0440,18,15,43,16,24,23.2
Xenos Hayden Gallegos,XHG0902,44,35,23,47,14,32.6
Tobias Dakota Jacobs,TDJ0998,34,40,10,42,36,32.4
John Price Atkins,JPA0667,49,42,34,35,27,37.4
Elaine Hanna Raymond,EHR0096,22,13,20,48,31,26.8
Sharon Jemima Whitehead,SJW0451,43,30,16,50,28,33.4
Colton Nathan Barber,CNB0900,34,43,38,16,27,31.6
Ethan Arden Hays,EAH0466,41,38,29,38,25,34.2
Curran Tarik Ayala,CTA0020,36,50,11,22,34,30.6
Sandra Roary Solomon,SRS0231,17,44,36,32,26,31.0
Hadley Willa Hill,HWH0646,17,24,24,21,28,22.8
Halee Kim Burnett,HKB0418,50,18,13,26,27,26.8
Chanda Celeste Mosley,CCM0855,31,24,19,36,29,27.8
Shelley Eleanor Dawson,SED0886,22,18,18,35,28,24.2
Logan Branden Cherry,LBC0356,40,30,40,21,41,34.4
Chloe Keiko Holland,CKH0144,34,22,22,35,30,28.6
Melvin Brody Garza,MBG0438,38,17,37,16,29,27.4
Mohammad Vladimir Farrell,MVF0594,35,38,33,44,36,37.2
Alea Tana Ferrell,ATF0274,20,45,48,27,28,33.6
Kendall Thaddeus Glover,KTG0091,46,41,16,15,29,29.4
Alfonso Colin Cooley,ACC0042,23,19,37,20,31,26.0
Arsenio Kato Wilder,AKW0167,38,38,20,14,35,29.0
Kirk Palmer Rosales,KPR0497,50,43,43,20,29,37.0
Amaya Britanni Newton,ABN0239,21,37,20,39,25,28.4
Colton Kaseem Bolton,CKB0482,36,48,37,46,25,38.4
Alfreda Morgan Holloway,AMH0464,45,16,42,37,21,32.2
Quinn Coby Hays,QCH0110,34,35,17,37,27,30.0
Sara Gail George,SGG0787,14,27,10,20,31,20.4
Sarah Imelda Juarez,SIJ0661,40,17,14,15,21,21.4
Byron Tyrone Williamson,BTW0005,33,39,18,18,27,27.0
Risa Laura Bolton,RLB0719,14,18,15,40,35,24.4
William Damian Oconnor,WDO0870,23,21,14,13,25,19.2
Kaden Chastity Briggs,KCB0815,16,40,18,36,31,28.2
Vincent Calvin Young,VCY0751,37,24,39,19,25,28.8
Brock Aladdin Joyce,BAJ0654,36,10,47,10,41,28.8
Madonna Kristen Love,MKL0941,16,26,20,38,30,26.0
Elijah Gary Diaz,EGD0409,39,40,22,35,33,33.8
Dale Benjamin Sharpe,DBS0235,30,38,18,37,33,31.2
Jael Jennifer Hansen,JJH0613,50,30,24,14,26,28.8
Ulric Ferdinand Knapp,UFK0208,18,34,22,23,30,25.4
Brent Laith Beck,BLB0114,38,48,41,15,22,32.8
Cheyenne Kay Dickerson,CKD0680,18,50,24,18,28,27.6
Myra Kay Greer,MKG0711,17,26,43,32,38,31.2
Edward Dean Anthony,EDA0684,38,42,40,39,33,38.4
Illana Isabelle Lamb,IIL0513,37,13,26,38,34,29.6
TaShya Savannah Mcgowan,TSM0363,34,19,20,39,33,29.0
Price Bevis Pittman,PBP0002,49,35,23,10,27,28.8
Louis Hyatt Bruce,LHB0606,37,38,15,27,27,28.8
Guy Tad Daniel,GTD0898,23,23,39,15,29,25.8
Calvin Jarrod Hood,CJH0702,46,24,30,25,37,32.4
Desirae Mari Koch,DMK0257,33,20,26,26,30,27.0
Willow Iliana Quinn,WIQ0567,25,41,10,47,39,32.4
Peter Tad Hartman,PTH0830,43,44,42,43,34,41.2
Nicholas Cade Owen,NCO0666,40,45,10,12,31,27.6
Maxwell Hammett Green,MHG0733,43,30,24,42,29,33.6
Robert Ali Webb,RAW0915,43,50,21,43,24,36.2
Hillary Ainsley Mccormick,HAM0985,20,17,29,16,20,20.4
Serina Ariana Butler,SAB0781,36,35,24,30,28,30.6
Ira Benjamin Mays,IBM0671,50,46,38,35,31,40.0
Yasir Dexter Nelson,YDN0198,45,50,41,11,24,34.2
Grace Alma Fry,GAF0060,41,16,39,25,22,28.6
Alec Mannix Mcneil,AMM0014,48,38,15,44,36,36.2
Aquila Mark Vega,AMV0036,43,36,42,37,26,36.8
Merritt Oliver Phelps,MOP0763,43,41,22,20,33,31.8
Callum Brendan Gonzalez,CBG0490,50,31,35,10,29,31.0
Cameron Noel Elliott,CNE0352,39,22,44,15,30,30.0
Gil Quincy Potter,GQP0743,47,39,19,39,25,33.8
Philip Travis Hartman,PTH0552,20,13,32,20,28,22.6
Garrison Levi Rollins,GLR0975,33,44,26,24,24,30.2
Gareth Thomas Dickson,GTD0219,40,40,19,30,33,32.4
Blossom Keiko Weiss,BKW0374,41,38,17,46,27,33.8
Constance Audrey Hicks,CAH0936,40,22,39,50,24,35.0
Althea Ina Palmer,AIP0982,43,20,43,41,33,36.0
Kennedy Robert Vega,KRV0372,40,39,25,35,32,34.2
Ivor Amir Tucker,IAT0263,28,23,30,30,27,27.6
Jocelyn Brenna Daniels,JBD0616,40,21,25,37,27,30.0
Roary Ursa Massey,RUM0880,40,37,17,38,26,31.6
Declan Gareth Mclaughlin,DGM0754,42,18,42,24,24,30.0
Savannah Marcia Yang,SMY0792,43,37,39,42,25,37.2
Harrison Oscar Burke,HOB0994,38,39,15,43,33,33.6
Donovan Garth Nieves,DGN0480,21,25,44,20,31,28.2
Kirk Jakeem Joyce,KJJ0293,41,42,23,39,33,35.6
Justin Xerxes Hansen,JXH0493,36,32,23,15,31,27.4
Peter Gil Harrington,PGH0184,30,35,33,22,25,29.0
Josiah Preston Wall,JPW0741,40,38,44,30,33,37.0
Nichole Melodie Gilbert,NMG0766,16,23,42,40,31,30.4
Heidi Mia Wilson,HMW0713,38,24,40,36,28,33.2
Malik Adrian Hebert,MAH0864,30,46,25,20,25,29.2
Quentin Nolan Fitzpatrick,QNF0205,35,41,22,21,29,29.6
Keane Kennan Watts,KKW0879,36,42,21,31,27,31.4
Thaddeus Emery Martin,TEM0093,28,24,45,14,30,28.2
Reuben Victor Freeman,RVF0201,36,32,38,29,28,32.6
Tobias Martin Ashley,TMA0069,33,38,42,14,33,32.0
Vernon Finn Mcgee,VFM0814,46,45,44,19,28,36.4
Salvador Byron Norton,SBN0866,41,34,41,24,22,32.4
Zenaida Justine England,ZJE0857,35,34,36,38,31,34.8
Hasad Paki Mcfadden,HPM0986,41,36,38,23,24,32.4
Cody Jonathan Potter,CJP0952,45,18,25,18,27,26.6
Dante Raja Roberts,DRR0162,45,36,20,36,29,33.2
Evelyn Sarah Reilly,ESR0693,35,23,25,21,31,27.0
Colt Walter Reynolds,CWR0502,41,49,25,45,27,37.4
Summer Leilani Boyer,SLB0049,14,27,16,22,20,19.8
Ira Dustin Oneill,IDO0176,34,39,40,24,26,32.6
Alfonso Gage Blankenship,AGB0186,18,10,41,15,35,23.8
Roary Jane Barrett,RJB0088,20,42,37,45,24,33.6
Oren Curran Brady,OCB0805,37,33,42,16,18,29.2
Elton Tyler Richard,ETR0428,36,21,40,20,20,27.4
Ivana Kaitlin Parsons,IKP0472,32,10,37,38,31,29.6
Leo Hasad Byrd,LHB0967,37,38,41,47,33,39.2
Chester Caldwell Mendoza,CCM0467,43,40,19,26,25,30.6
Gage Kaden Odonnell,GKO0078,44,46,21,24,29,32.8
Garrett Nicholas Solomon,GNS0178,30,17,42,26,33,29.6
Sybill Sage Shaw,SSS0345,40,21,38,16,20,27.0
Lane Oleg Mclaughlin,LOM0086,18,10,34,23,33,23.6
Simone Scarlet Rose,SSR0278,34,32,45,15,24,30.0
Adena Lisandra Hardin,ALH0402,43,23,43,46,32,37.4
Anastasia Kylan Kaufman,AKK0329,45,22,25,39,22,30.6
Eugenia Whilemina Harrington,EWH0191,33,17,22,23,27,24.4
Todd Vance Spears,TVS0050,40,38,18,30,29,31.0
Troy Uriah Conway,TUC0632,38,44,10,13,31,27.2
Sonia Karly Goodwin,SKG0759,22,15,43,41,26,29.4
Isabella Marah Graham,IMG0320,37,14,12,24,23,22.0
Blair Bruno Grimes,BBG0325,41,50,30,37,40,39.6
Chanda Tamekah William,CTW0500,38,36,20,35,35,32.8
Sonya Beatrice Nichols,SBN0495,39,22,43,24,21,29.8
Emerald Lysandra Hodges,ELH0960,40,43,26,41,22,34.4
Brynn Madeline Sherman,BMS0877,31,50,11,43,33,33.6
Thomas Shad Guthrie,TSG0906,41,21,40,28,28,31.6
Rebecca Kelsie Daugherty,RKD0604,17,46,36,38,31,33.6
Jakeem Magee Knight,JMK0099,40,37,41,41,25,36.8
Macon Kyle Pope,MKP0861,36,42,39,34,29,36.0
Honorato Ivan Wall,HIW0536,39,50,25,24,20,31.6
Cherokee Tashya Ramirez,CTR0697,36,15,33,25,34,28.6
Blaine Helen Cervantes,BHC0665,14,21,12,12,32,18.2
Dominic Calvin Hewitt,DCH0843,20,31,11,18,36,23.2
Wade Ira Frazier,WIF0691,33,39,37,30,24,32.6
Hanae Wendy Meyer,HWM0342,45,44,41,39,34,40.6
Mufutau Nehru Contreras,MNC0717,30,37,22,22,34,29.0
Abel Reese Boone,ARB0881,38,46,43,10,35,34.4
Azalia Halee Cantu,AHC0142,34,23,40,15,26,27.6
Zenia Freya Macias,ZFM0468,35,16,20,45,30,29.2
Delilah Iliana Wilkinson,DIW0118,37,17,19,37,26,27.2
Upton Sebastian Holt,USH0199,44,39,46,36,25,38.0
Mallory Alexis Daniel,MAD0753,50,30,36,41,33,38.0
Kim Dara Sullivan,KDS0349,18,23,20,32,29,24.4
Laith Jason Britt,LJB0826,38,21,39,15,32,29.0
Farrah Kim Keith,FKK0055,46,16,37,16,27,28.4
Tara Alma Potts,TAP0551,25,17,27,20,22,22.2
Fletcher Perry Cantu,FPC0954,22,25,50,20,27,28.8
Galena Britanney Merritt,GBM0603,39,42,42,24,37,36.8
Casey Xerxes Conrad,CXC0336,23,19,34,35,34,29.0
Hakeem Mason Mccall,HMM0108,33,41,17,43,25,31.8
Fritz Dale Ellison,FDE0117,38,37,32,41,28,35.2
Fatima Ulla Mcclure,FUM0015,33,18,18,46,32,29.4
Nelle April Bowen,NAB0801,28,34,10,41,29,28.4
Geoffrey Jin Tucker,GJT0386,24,13,49,34,26,29.2
Kathleen Aline Chan,KAC0124,33,14,30,18,33,25.6
Raymond Gray Hyde,RGH0728,19,20,37,18,29,24.6
Charde Cynthia Rasmussen,CCR0863,20,30,37,14,29,26.0
Tiger Tucker Dawson,TTD1000,34,34,24,40,29,32.2
Oleg Kane Britt,OKB0439,41,42,30,25,27,33.0
Xander Aaron Acevedo,XAA0104,41,40,14,38,42,35.0
Reuben Fulton Pugh,RFP0380,39,39,20,20,32,30.0
Josiah Thaddeus Stewart,JTS0389,31,36,11,44,32,30.8
Cameran Madonna Shepard,CMS0454,43,23,28,15,25,26.8
Jaden Kylan Buckley,JKB0126,43,24,19,33,28,29.4
Lillith Adena Matthews,LAM0911,42,43,27,38,22,34.4
Grady Craig Coffey,GCC0744,35,42,15,25,31,29.6
Colin Lawrence Holder,CLH0703,48,41,47,28,29,38.6
Keely Mollie Weiss,KMW0545,19,16,18,23,32,21.6
Piper Sasha Fuentes,PSF0133,42,40,11,36,33,32.4
Nathaniel Hunter Heath,NHH0185,41,43,19,21,33,31.4
Nehru Cyrus Everett,NCE0097,48,36,20,11,35,30.0
Camilla Camille Leach,CCL0068,13,16,23,19,23,18.8
Anne Jane Carey,AJC0840,14,24,19,33,37,25.4
George Cade Chen,GCC0945,30,39,18,25,27,27.8
Noah Andrew Beck,NAB0903,44,30,19,30,37,32.0
Alice Orli Stout,AOS0987,16,32,40,30,27,29.0
Jana Amanda Dorsey,JAD0609,18,23,26,36,33,27.2
Alea Maggie Whitfield,AMW0392,47,47,22,44,26,37.2
Fay Ingrid Rodriquez,FIR0920,40,11,44,20,27,28.4
Rowan Neve Parks,RNP0211,39,15,25,40,30,29.8
