employee_name,user,O,C,E,A,N,logon_count,logoff_count,after_hours_logon_count,after_hours_logoff_count,unique_pc_count,email_count,emails_with_attachments,total_attachments,total_email_size,unique_recipients,file_activity_count,unique_files,unique_file_pcs,http_request_count,unique_http_pc_count,unique_domain_count,device_activity_count,device_connect_count,device_disconnect_count,unique_device_pc_count
Devin Abdul Rogers,DAR0885,43,43,44,41,25,58,58,9,46,5,109,36,60,3157317,119,0.0,0.0,0.0,1073,1,131,0.0,0.0,0.0,0.0
Jacqueline Latifah Miles,JLM0364,35,22,15,25,37,1314,1314,856,859,99,3537,366,765,105756588,1735,1.0,1.0,1.0,38165,1,161,4.0,2.0,2.0,2.0
Ferris Omar Barry,FOB0756,42,41,34,20,27,912,567,0,0,2,1242,360,654,37561125,800,165.0,165.0,1.0,12325,1,222,309.0,155.0,154.0,1.0
Grant Camden Gay,GCG0951,33,33,25,19,44,656,379,351,4,2,375,102,192,11081713,269,0.0,0.0,0.0,3460,1,76,0.0,0.0,0.0,0.0
Howard Wing Yang,HWY0038,47,39,40,22,24,449,449,398,291,101,1138,125,252,34307877,619,0.0,0.0,0.0,12312,1,173,0.0,0.0,0.0,0.0
Aspen Amber Vinson,AAV0450,44,24,36,41,33,346,346,159,186,1,336,67,125,10114211,260,0.0,0.0,0.0,3460,1,106,0.0,0.0,0.0,0.0
Colorado John Valentine,CJV0286,18,14,17,13,26,617,346,0,346,1,1006,411,785,29851083,596,0.0,0.0,0.0,10034,1,143,0.0,0.0,0.0,0.0
Tyrone Damian Garner,TDG0962,42,40,36,26,21,747,473,360,5,2,336,102,187,9941398,272,0.0,0.0,0.0,3450,1,131,0.0,0.0,0.0,0.0
Stephanie Victoria Lyons,SVL0803,27,35,20,36,32,346,346,0,0,1,3033,327,649,89927900,1474,0.0,0.0,0.0,32870,1,196,0.0,0.0,0.0,0.0
Quynn Odessa Sanford,QOS0878,18,12,20,16,29,248,158,117,9,4,1547,618,1109,46142228,963,127.0,127.0,1.0,18306,1,111,476.0,239.0,237.0,1.0
Melyssa Deirdre Morgan,MDM0625,18,42,36,27,24,685,408,161,0,2,5341,574,1088,160926652,2949,8346.0,8346.0,1.0,55890,1,133,5452.0,2733.0,2719.0,1.0
Gray Mason Fulton,GMF0738,30,40,45,20,18,346,346,167,0,1,5036,0,0,151732098,2526,0.0,0.0,0.0,56052,1,145,0.0,0.0,0.0,0.0
Bianca Elizabeth Roach,BER0314,23,20,18,19,32,346,346,346,0,1,4963,518,986,150071983,2445,0.0,0.0,0.0,56052,1,210,0.0,0.0,0.0,0.0
Aurelia Martina Reese,AMR0400,19,16,47,28,28,346,346,157,346,1,2987,0,0,89071314,1400,0.0,0.0,0.0,32870,1,172,0.0,0.0,0.0,0.0
Yardley Cairo Elliott,YCE0983,39,21,42,30,36,346,346,346,15,1,3027,1217,2584,91127611,1186,0.0,0.0,0.0,32870,1,156,0.0,0.0,0.0,0.0
Blaine Jelani Weeks,BJW0619,30,43,47,21,39,346,346,148,0,1,4973,516,976,148503509,2507,0.0,0.0,0.0,56052,1,127,0.0,0.0,0.0,0.0
Delilah Pearl Schneider,DPS0262,20,25,20,14,32,127,127,127,16,1,946,100,184,28330002,560,0.0,0.0,0.0,10545,1,85,0.0,0.0,0.0,0.0
TaShya Yoko Bailey,TYB0779,24,20,35,36,34,616,346,0,0,1,989,420,830,30108778,674,0.0,0.0,0.0,10034,1,107,0.0,0.0,0.0,0.0
Melissa Ava Stuart,MAS0025,23,14,20,21,23,206,206,206,12,1,2706,0,0,81253079,1049,55.0,55.0,1.0,28745,1,171,31.0,16.0,15.0,1.0
Kermit Beau Leach,KBL0260,16,15,48,16,32,346,346,346,0,1,3014,0,0,91109158,1409,0.0,0.0,0.0,32870,1,179,0.0,0.0,0.0,0.0
Geoffrey Harlan Lara,GHL0460,21,37,24,17,35,232,232,111,132,1,217,57,112,6196624,178,41.0,41.0,1.0,2291,1,109,22.0,11.0,11.0,1.0
Flynn Malcolm Gibson,FMG0527,43,38,35,38,28,274,274,4,4,1,790,313,603,23130923,497,23.0,23.0,1.0,7832,1,83,24.0,12.0,12.0,1.0
Heather Cynthia Leonard,HCL0651,21,19,44,36,33,644,372,6,353,2,1017,315,552,30176068,629,723.0,723.0,1.0,10034,1,206,1320.0,662.0,658.0,1.0
Shannon Chantale Price,SCP0130,42,18,35,32,24,459,459,0,185,2,1001,387,797,29671974,695,1615.0,1615.0,1.0,10034,1,131,1427.0,717.0,710.0,1.0
Castor Mark Wolf,CMW0783,21,35,14,16,26,346,346,0,0,1,996,0,0,30105173,602,0.0,0.0,0.0,10034,1,119,0.0,0.0,0.0,0.0
Ryan Kelly Frost,RKF0164,40,42,17,18,42,335,335,335,0,1,2926,869,1717,87568604,829,0.0,0.0,0.0,31730,1,244,0.0,0.0,0.0,0.0
Damian Omar Le,DOL0332,32,40,41,18,24,346,346,346,346,1,1008,314,595,30332942,631,0.0,0.0,0.0,10034,1,114,0.0,0.0,0.0,0.0
Robert Samuel Chen,RSC0089,41,26,35,21,29,815,535,440,70,4,3208,960,1897,95498565,1493,865.0,865.0,1.0,32850,1,160,5776.0,2896.0,2880.0,1.0
Cailin Casey Mckee,CCM0136,16,16,39,40,29,633,364,1,190,2,334,109,213,10077729,268,137.0,137.0,1.0,3096,1,106,239.0,120.0,119.0,1.0
Nina Camille Hodges,NCH0179,17,12,40,17,25,346,346,346,346,1,3707,1485,2447,111687514,2004,0.0,0.0,0.0,39444,1,232,0.0,0.0,0.0,0.0
Nicolas Brandon Hendrix,NBH0256,41,43,14,21,22,346,346,346,0,1,3022,1210,2009,89820574,1416,0.0,0.0,0.0,32870,1,114,0.0,0.0,0.0,0.0
Olivia Rose Galloway,ORG0339,50,28,46,47,20,346,346,346,346,1,1023,110,211,30189394,669,0.0,0.0,0.0,10034,1,99,0.0,0.0,0.0,0.0
Forrest Rashad Richards,FRR0832,43,40,25,19,30,346,346,0,346,1,336,138,329,10159114,264,0.0,0.0,0.0,3460,1,76,0.0,0.0,0.0,0.0
Miriam Shoshana Donovan,MSD0939,24,37,15,42,31,346,346,346,0,1,2993,301,617,89413962,1379,0.0,0.0,0.0,32870,1,135,0.0,0.0,0.0,0.0
Olivia Quynn Hardy,OQH0183,34,38,18,33,23,346,346,346,346,1,1004,96,206,30273347,616,0.0,0.0,0.0,10034,1,105,0.0,0.0,0.0,0.0
Bethany Stephanie Haynes,BSH0445,38,22,30,15,21,346,346,166,0,1,3043,602,1248,90124827,1564,0.0,0.0,0.0,32870,1,126,0.0,0.0,0.0,0.0
Kennedy Shad Parker,KSP0357,41,40,29,19,24,945,945,604,607,112,2496,506,1004,74704559,1241,0.0,0.0,0.0,27018,1,127,0.0,0.0,0.0,0.0
Nigel Gareth Ochoa,NGO0690,43,41,41,17,24,622,346,0,346,1,3017,921,1533,89850222,1484,0.0,0.0,0.0,32775,1,216,0.0,0.0,0.0,0.0
Vincent Craig Cunningham,VCC0396,21,45,16,37,23,698,440,210,397,2,3021,1226,2431,91276994,1544,1616.0,1616.0,1.0,32870,1,258,1433.0,719.0,714.0,1.0
Wesley Dustin Dickerson,WDD0366,43,42,17,19,28,1450,1219,774,774,116,3215,994,1738,96727656,1713,6.0,6.0,1.0,34850,1,178,12.0,6.0,6.0,1.0
Kai Penelope Peck,KPP0452,44,46,44,16,19,346,346,157,229,1,341,65,130,10083161,261,0.0,0.0,0.0,3460,1,65,0.0,0.0,0.0,0.0
Raymond Tate Osborne,RTO0313,44,45,25,17,27,722,445,413,70,2,5015,1501,2682,150183452,2731,0.0,0.0,0.0,56052,1,223,0.0,0.0,0.0,0.0
Ariel Bertha Murphy,ABM0845,45,21,35,50,29,633,369,1,348,2,340,37,92,10015108,277,0.0,0.0,0.0,3460,1,145,0.0,0.0,0.0,0.0
Vance Ira Alston,VIA0063,40,34,19,50,33,346,346,171,207,1,4701,439,954,141496546,2295,8524.0,8524.0,1.0,49478,1,191,5488.0,2751.0,2737.0,1.0
Benjamin Ignatius Hooper,BIH0745,43,39,50,27,25,148,148,69,4,1,2087,835,1469,62086496,1131,41.0,41.0,1.0,23329,1,253,22.0,11.0,11.0,1.0
Clinton Coby Wolfe,CCW0031,33,47,30,39,33,346,346,346,0,1,4717,968,1904,141454265,2164,0.0,0.0,0.0,49478,1,132,0.0,0.0,0.0,0.0
Illana Yvette Bradshaw,IYB0918,17,21,42,14,30,346,346,0,346,1,3024,309,684,91428799,1386,0.0,0.0,0.0,32870,1,129,0.0,0.0,0.0,0.0
Orla Ruth Mckenzie,ORM0669,44,39,28,39,36,435,435,175,1,2,3019,1193,1998,91351736,1540,0.0,0.0,0.0,32775,1,169,0.0,0.0,0.0,0.0
Mikayla Jaden Barron,MJB0588,39,24,15,47,38,346,346,0,346,1,372,43,82,11022793,295,0.0,0.0,0.0,3460,1,111,0.0,0.0,0.0,0.0
Arthur Lucian Bonner,ALB0892,25,19,44,22,30,235,235,0,235,1,680,83,151,20367368,446,0.0,0.0,0.0,6815,1,83,0.0,0.0,0.0,0.0
Leah Idola Moran,LIM0674,18,13,35,49,20,738,468,192,26,2,3071,930,1776,92462780,1594,185.0,185.0,1.0,33535,1,181,264.0,133.0,131.0,1.0
Lacota Helen Nash,LHN0151,13,15,19,32,26,346,346,0,0,1,1680,158,359,50135342,482,0.0,0.0,0.0,16608,1,153,0.0,0.0,0.0,0.0
William Theodore Reeves,WTR0563,47,45,46,15,31,346,346,0,233,1,2992,0,0,90326579,1361,0.0,0.0,0.0,32870,1,167,0.0,0.0,0.0,0.0
MacKenzie Kristen Stewart,MKS0204,21,30,21,16,31,346,346,346,0,1,3682,390,696,111332803,1124,0.0,0.0,0.0,37368,1,101,0.0,0.0,0.0,0.0
Armando Albert Walter,AAW0353,49,45,19,25,34,346,346,165,232,1,1000,0,0,29620004,661,0.0,0.0,0.0,10034,1,95,0.0,0.0,0.0,0.0
Willow Jaime Daniel,WJD0576,40,20,23,38,26,346,346,0,346,1,334,35,59,10044568,240,0.0,0.0,0.0,3460,1,155,0.0,0.0,0.0,0.0
Irene Lacota Huffman,ILH0958,28,17,20,19,24,737,466,385,29,4,337,107,236,10117222,283,2970.0,2970.0,1.0,3460,1,95,300.0,150.0,150.0,1.0
Tallulah Liberty Kirby,TLK0993,41,36,40,35,22,346,346,0,346,1,3014,0,0,91049105,1160,0.0,0.0,0.0,32870,1,127,0.0,0.0,0.0,0.0
William Aladdin Bennett,WAB0143,43,43,24,22,33,254,254,254,0,1,2211,0,0,66230101,651,0.0,0.0,0.0,24130,1,160,0.0,0.0,0.0,0.0
Rashad Aristotle Guerrero,RAG0275,23,38,35,41,32,346,346,346,0,1,2993,598,1259,89994026,1509,0.0,0.0,0.0,32870,1,137,0.0,0.0,0.0,0.0
Leilani Quail Callahan,LQC0479,27,38,34,17,36,201,201,4,4,1,2853,0,0,85702337,1568,22.0,22.0,1.0,31917,1,251,18.0,9.0,9.0,1.0
Kai Wynne Craft,KWC0004,23,38,39,20,27,346,346,161,0,1,8997,897,1811,268029239,3335,0.0,0.0,0.0,98610,1,242,0.0,0.0,0.0,0.0
Cora Jane Kinney,CJK0200,40,29,24,38,31,346,346,346,0,1,3674,0,0,109637820,978,0.0,0.0,0.0,39444,1,150,0.0,0.0,0.0,0.0
Flynn Edward Brennan,FEB0306,40,42,26,25,31,700,418,1,227,2,329,102,205,9734287,270,1157.0,1157.0,1.0,3460,1,115,719.0,361.0,358.0,1.0
Indira Jocelyn Mack,IJM0776,41,35,19,41,32,171,171,0,0,1,515,106,217,15598975,319,344.0,344.0,1.0,5093,1,101,694.0,350.0,344.0,1.0
Nicolas Kadeem Hayden,NKH0807,45,44,40,22,20,346,346,0,346,1,3028,597,1093,91352999,1367,0.0,0.0,0.0,32870,1,143,0.0,0.0,0.0,0.0
Jade Maris Coleman,JMC0925,33,10,23,19,31,779,505,63,411,2,3372,1347,2386,100300021,1719,0.0,0.0,0.0,32870,1,103,0.0,0.0,0.0,0.0
Stephanie Briar Harrington,SBH0537,34,21,14,13,33,694,386,0,210,1,4812,1431,2556,144463346,2482,428.0,428.0,1.0,55198,1,205,278.0,140.0,138.0,1.0
Julie Jaime Burns,JJB0700,15,19,39,37,28,371,371,349,1,2,337,129,291,10171886,275,0.0,0.0,0.0,3460,1,78,0.0,0.0,0.0,0.0
Amaya Iola Sawyer,AIS0405,40,45,14,37,35,346,346,164,346,1,2995,606,1355,88886200,1460,0.0,0.0,0.0,32870,1,235,0.0,0.0,0.0,0.0
Hilda Alice Hahn,HAH0760,34,17,22,37,30,611,346,0,0,1,998,298,607,29519590,678,1900.0,1900.0,1.0,10034,1,84,1342.0,677.0,665.0,1.0
Aladdin Hu Day,AHD0848,24,30,49,16,30,731,431,13,398,5,376,126,271,11207740,278,199.0,199.0,1.0,3820,1,99,299.0,150.0,149.0,1.0
Lila Dana Mcintyre,LDM0587,49,20,23,21,26,346,346,0,346,1,335,37,67,10011444,254,0.0,0.0,0.0,3460,1,180,0.0,0.0,0.0,0.0
Armand Jasper Nicholson,AJN0607,45,42,16,47,23,721,456,171,0,2,5022,2034,3717,149415060,2571,820.0,820.0,1.0,56052,1,171,2061.0,1033.0,1028.0,1.0
Bevis Brady Sheppard,BBS0039,44,37,34,21,40,663,663,599,441,110,1679,343,710,49956573,908,1.0,1.0,1.0,17878,1,185,4.0,2.0,2.0,2.0
Emerald Imani Schmidt,EIS0041,41,44,17,48,30,1661,1391,1243,898,112,3287,1005,1999,97611841,1662,3676.0,3676.0,381.0,39270,1,241,2644.0,1323.0,1321.0,607.0
Melodie Lee Glenn,MLG0475,45,16,18,19,25,346,346,155,185,1,337,84,195,10167534,259,0.0,0.0,0.0,3460,1,129,0.0,0.0,0.0,0.0
Hadley Rhona Dillon,HRD0635,24,35,18,32,24,212,140,13,103,6,269,106,215,8181146,224,0.0,0.0,0.0,2610,1,46,0.0,0.0,0.0,0.0
Ethan Perry Wiggins,EPW0434,32,36,38,22,33,346,346,167,0,1,3053,590,980,92069148,1549,0.0,0.0,0.0,32870,1,258,0.0,0.0,0.0,0.0
Jena Audrey Malone,JAM0382,25,23,41,17,23,346,346,156,0,1,2998,604,1314,90115800,1404,0.0,0.0,0.0,32870,1,147,0.0,0.0,0.0,0.0
Noble Clinton Klein,NCK0295,31,30,38,36,34,346,346,0,184,1,334,0,0,9980599,256,0.0,0.0,0.0,3460,1,189,0.0,0.0,0.0,0.0
Luke Jacob Talley,LJT0817,39,43,38,39,24,639,382,5,352,2,3024,1197,2271,90972269,1441,1927.0,1927.0,1.0,32870,1,170,1303.0,655.0,648.0,1.0
Chandler Ashton Madden,CAM0102,31,44,19,15,27,346,346,346,0,1,3038,0,0,91334857,1521,0.0,0.0,0.0,32870,1,157,0.0,0.0,0.0,0.0
Suki Ori Grant,SOG0411,26,19,21,24,23,346,346,154,191,1,3003,1204,2031,90677009,1503,0.0,0.0,0.0,32870,1,190,0.0,0.0,0.0,0.0
Kameko Signe Harrison,KSH0569,15,39,23,14,22,346,346,0,204,1,2998,1195,2194,90038627,1422,0.0,0.0,0.0,32870,1,195,0.0,0.0,0.0,0.0
Bruno Donovan Ingram,BDI0533,37,36,15,41,19,862,516,0,0,2,1302,385,706,38774243,890,2458.0,2458.0,1.0,13530,1,188,1840.0,922.0,918.0,1.0
Paula Madaline Jackson,PMJ0564,30,21,40,14,39,742,469,27,212,2,3014,1196,2215,90629074,1503,0.0,0.0,0.0,32870,1,137,0.0,0.0,0.0,0.0
Hedda Grace Gordon,HGG0240,20,26,24,36,31,346,346,168,191,1,3021,620,1124,90741960,1369,0.0,0.0,0.0,32775,1,229,0.0,0.0,0.0,0.0
Mari Gretchen Shaw,MGS0974,17,39,39,40,27,421,421,172,231,2,4073,1235,2418,122372620,1691,162.0,162.0,1.0,43320,1,150,283.0,142.0,141.0,1.0
Dominic Howard Mcconnell,DHM0937,43,22,21,15,24,346,346,346,0,1,3025,633,1085,91419026,1430,0.0,0.0,0.0,32870,1,207,0.0,0.0,0.0,0.0
Evelyn Nevada Curtis,ENC0234,21,23,32,19,23,483,288,125,260,2,2268,234,434,67502229,1144,0.0,0.0,0.0,24605,1,94,0.0,0.0,0.0,0.0
Colin Evan Brown,CEB0210,42,24,44,23,34,346,346,346,0,1,4610,890,1687,137729110,2021,0.0,0.0,0.0,49335,1,162,0.0,0.0,0.0,0.0
Yvette Jeanette Vang,YJV0699,17,25,30,13,31,346,346,346,0,1,340,0,0,10391555,258,0.0,0.0,0.0,3460,1,183,0.0,0.0,0.0,0.0
Brittany Mona Terry,BMT0528,33,25,39,25,30,372,372,0,0,2,1010,396,768,30508877,629,1903.0,1903.0,1.0,10034,1,119,1420.0,713.0,707.0,1.0
Caleb Jonas Chang,CJC0494,40,39,39,42,42,346,346,0,0,1,5031,1009,2003,150416348,2582,0.0,0.0,0.0,56052,1,133,0.0,0.0,0.0,0.0
Sean Omar Burgess,SOB0360,42,22,40,16,32,890,890,568,570,107,2436,0,0,72829896,1264,0.0,0.0,0.0,25764,1,158,0.0,0.0,0.0,0.0
Glenna Caryn Sharpe,GCS0571,22,18,16,23,32,629,359,3,349,2,332,33,65,10015013,273,564.0,564.0,1.0,3460,1,59,275.0,138.0,137.0,1.0
Beck John Peters,BJP0134,42,17,44,21,39,615,351,0,184,2,338,103,207,10249433,272,8072.0,8072.0,1.0,3460,1,106,5940.0,2977.0,2963.0,1.0
Kirby Bo Pollard,KBP0008,23,18,40,11,34,733,464,363,14,2,9145,2775,4575,273685979,3343,0.0,0.0,0.0,103800,1,222,0.0,0.0,0.0,0.0
Fitzgerald Len Merrill,FLM0213,20,41,46,15,24,345,346,345,0,1,4668,892,1788,140537546,2013,0.0,0.0,0.0,49335,1,120,0.0,0.0,0.0,0.0
Rhonda Rhona Parsons,RRP0568,43,50,38,18,33,649,368,0,346,2,2989,917,1836,89793757,1460,1450.0,1450.0,1.0,32870,1,233,757.0,381.0,376.0,1.0
Maxwell Clark Faulkner,MCF0600,39,49,13,26,27,308,308,7,254,2,239,22,48,7130837,197,102.0,102.0,1.0,2453,1,68,72.0,36.0,36.0,1.0
Shelly Audra Ayala,SAA0999,20,17,34,11,36,630,355,0,346,2,3016,916,1796,89745493,1237,8468.0,8468.0,1.0,31140,1,187,5971.0,2992.0,2979.0,1.0
Teagan Hedy Romero,THR0873,37,44,21,40,38,370,370,362,33,1,5032,1566,3447,150386981,2576,8525.0,8525.0,1.0,58820,1,216,5466.0,2742.0,2724.0,1.0
Kimberley Roary Maldonado,KRM0541,40,20,38,36,23,364,364,159,195,2,3022,324,688,90649601,1444,0.0,0.0,0.0,31050,1,178,0.0,0.0,0.0,0.0
Kenneth Steel Porter,KSP0966,42,36,19,24,35,346,346,346,0,1,333,0,0,9605809,261,0.0,0.0,0.0,3460,1,144,0.0,0.0,0.0,0.0
Lionel Omar Fisher,LOF0311,41,15,36,10,32,346,346,346,0,1,5030,1014,2085,151555853,2564,0.0,0.0,0.0,56052,1,183,0.0,0.0,0.0,0.0
Montana Basia Roberts,MBR0724,33,44,18,35,31,346,346,346,0,1,338,0,0,10027923,252,0.0,0.0,0.0,3460,1,75,0.0,0.0,0.0,0.0
Felicia Sloane Cabrera,FSC0601,37,30,37,15,30,324,324,136,0,2,4180,433,853,125588492,2222,653.0,653.0,1.0,49708,1,190,1263.0,634.0,629.0,1.0
Medge Liberty Petersen,MLP0668,40,17,16,43,33,346,346,164,0,1,3034,1205,2504,91040344,1422,0.0,0.0,0.0,32870,1,164,0.0,0.0,0.0,0.0
Charity Uta Daniels,CUD0795,12,40,30,44,24,346,346,0,0,1,3023,1217,2502,91101561,1518,0.0,0.0,0.0,32870,1,155,0.0,0.0,0.0,0.0
Aurora Katell Rhodes,AKR0057,50,41,20,18,30,419,243,126,239,2,2459,256,446,73917026,1247,540.0,540.0,1.0,26463,1,177,966.0,486.0,480.0,1.0
Guy Zeus Chandler,GZC0735,44,16,15,27,25,811,495,194,1,2,5847,1791,3504,176400395,2834,304.0,304.0,1.0,61047,1,137,792.0,397.0,395.0,1.0
Hadassah Leah Harris,HLH0512,15,42,36,22,32,501,501,0,0,2,1425,432,753,42451449,988,0.0,0.0,0.0,14268,1,122,0.0,0.0,0.0,0.0
Norman Jackson Beck,NJB0243,23,35,37,24,34,376,376,157,0,2,3045,284,583,91607293,1455,0.0,0.0,0.0,32870,1,175,0.0,0.0,0.0,0.0
Gregory Curran Sutton,GCS0518,41,36,23,38,21,346,346,0,0,1,1001,0,0,30108833,635,0.0,0.0,0.0,10034,1,130,0.0,0.0,0.0,0.0
Nicole Macey Craig,NMC0486,42,10,23,21,27,346,346,0,0,1,5044,0,0,151193694,2556,0.0,0.0,0.0,55728,1,97,0.0,0.0,0.0,0.0
Keegan Marvin Benson,KMB0922,43,43,17,24,27,728,460,79,427,6,3027,892,1726,91298109,1550,1209.0,1209.0,1.0,32775,1,219,733.0,367.0,366.0,1.0
Cecilia Freya Morgan,CFM0767,46,23,22,35,29,682,414,43,43,4,1005,106,189,29686618,707,778.0,778.0,1.0,10034,1,98,745.0,375.0,370.0,1.0
Holmes Arden Day,HAD0246,44,39,32,45,38,1047,656,314,94,2,4820,1422,2781,144378726,2061,315.0,315.0,1.0,46740,1,115,424.0,214.0,210.0,1.0
Alexa Nadine Poole,ANP0555,13,40,42,23,28,346,346,153,198,1,3009,0,0,90225336,1420,0.0,0.0,0.0,32870,1,155,0.0,0.0,0.0,0.0
Leslie Briar Fields,LBF0214,18,44,18,38,28,1015,658,544,86,2,6135,1865,3348,183351488,2777,1236.0,1236.0,1.0,68400,1,157,941.0,471.0,470.0,1.0
Dacey Jorden Bowen,DJB0159,20,37,27,38,37,641,361,348,1,2,6351,1929,3361,190146949,2043,0.0,0.0,0.0,65550,1,168,0.0,0.0,0.0,0.0
Baxter William Price,BWP0202,20,36,15,25,28,803,532,428,79,2,3663,1118,1827,109240986,1215,627.0,627.0,1.0,39444,1,145,257.0,129.0,128.0,1.0
Flavia Fiona Cannon,FFC0891,38,10,39,50,39,453,292,28,225,2,566,227,406,16630492,398,961.0,961.0,1.0,5684,1,113,833.0,418.0,415.0,1.0
Amal Judah Rich,AJR0932,46,30,35,12,29,199,199,199,4,1,1709,0,0,51299933,863,47.0,47.0,1.0,18527,1,175,38.0,19.0,19.0,1.0
Blair Deborah Vaughn,BDV0168,45,31,19,21,31,170,170,170,5,1,2427,511,846,72965888,1350,36.0,36.0,1.0,26733,1,146,32.0,16.0,16.0,1.0
Cassady Quincy Hampton,CQH0730,21,18,37,49,27,346,346,162,0,1,5068,497,1005,152057414,2530,0.0,0.0,0.0,56052,1,97,0.0,0.0,0.0,0.0
Jena Chanda Rollins,JCR0289,32,43,33,33,29,346,346,0,217,1,338,43,84,10213702,237,0.0,0.0,0.0,3460,1,102,0.0,0.0,0.0,0.0
Addison Edward Snyder,AES0827,39,40,34,38,23,346,346,0,346,1,336,0,0,10009311,252,0.0,0.0,0.0,3450,1,198,0.0,0.0,0.0,0.0
Sydnee Leilani Parsons,SLP0762,26,13,40,18,26,346,346,0,0,1,1002,196,360,30268731,642,0.0,0.0,0.0,10034,1,173,0.0,0.0,0.0,0.0
Cheyenne Lesley Dominguez,CLD0894,19,21,50,16,36,346,346,0,346,1,1011,0,0,30624288,662,0.0,0.0,0.0,10034,1,151,0.0,0.0,0.0,0.0
Leo Chaney Daugherty,LCD0622,30,26,13,14,26,346,346,155,0,1,4977,0,0,150795252,2487,0.0,0.0,0.0,55890,1,104,0.0,0.0,0.0,0.0
Caleb Mason Ball,CMB0912,46,43,16,22,31,860,518,458,30,7,5723,1690,3165,172026358,2935,0.0,0.0,0.0,60489,1,251,0.0,0.0,0.0,0.0
Zenia Kiona Stevenson,ZKS0899,47,20,42,43,30,385,385,0,346,2,1015,104,196,30342198,689,8537.0,8537.0,1.0,9976,1,130,5968.0,2991.0,2977.0,1.0
James Cain Vargas,JCV0245,40,44,22,20,27,346,346,160,0,1,3039,305,637,91925529,1421,0.0,0.0,0.0,32870,1,178,0.0,0.0,0.0,0.0
Ali Murphy Hurley,AMH0794,43,42,33,40,31,346,346,0,0,1,2957,618,1333,88684447,1336,0.0,0.0,0.0,32870,1,112,0.0,0.0,0.0,0.0
Francis Kane Buckner,FKB0163,39,35,25,39,22,346,346,346,0,1,3032,289,519,91132836,808,0.0,0.0,0.0,32870,1,218,0.0,0.0,0.0,0.0
Amena Karyn Christian,AKC0924,40,44,35,37,27,346,346,0,346,1,3047,617,1336,91247046,1403,0.0,0.0,0.0,32870,1,140,0.0,0.0,0.0,0.0
Ivory Leandra Rogers,ILR0304,20,22,18,46,30,346,346,0,185,1,333,35,52,9878970,269,0.0,0.0,0.0,3460,1,108,0.0,0.0,0.0,0.0
Arthur John Floyd,AJF0370,37,33,11,15,36,1777,1490,942,947,117,3927,1199,2212,119150880,1873,11053.0,11053.0,417.0,42445,1,235,8502.0,4261.0,4241.0,642.0
Octavius Kelly Castaneda,OKC0107,32,40,16,47,35,346,346,0,346,1,3007,619,1117,89194244,1504,0.0,0.0,0.0,32680,1,168,0.0,0.0,0.0,0.0
Oren Clinton Sharpe,OCS0865,29,24,43,35,32,636,369,350,10,2,5347,2161,3925,160954062,2863,873.0,873.0,1.0,56052,1,269,1310.0,659.0,651.0,1.0
Urielle Jane Carter,UJC0737,16,12,12,38,25,346,346,156,0,1,4987,1011,2245,149194267,2510,0.0,0.0,0.0,56052,1,154,0.0,0.0,0.0,0.0
Marshall Benjamin Wilcox,MBW0809,43,45,44,18,19,30,30,0,30,1,258,104,181,7646594,182,0.0,0.0,0.0,2850,1,94,0.0,0.0,0.0,0.0
