id,date,user,pc,to,cc,bcc,from,size,attachments
EML0000039,01/01/2026 14:19:46,USR0004,PC-USR0004-01,colleague6@dTA.org,,,usr0004@dTA.org,450000.0,
EML0000040,01/01/2026 12:08:09,USR0005,PC-USR0005-01,colleague2@dTA.org,,,usr0005@dTA.org,450000.0,
EML0000041,01/01/2026 10:32:49,USR0005,PC-USR0005-01,colleague9@dTA.org,,,usr0005@dTA.org,450000.0,
EML0000042,01/01/2026 09:42:21,USR0005,PC-USR0005-01,colleague10@dTA.org,,,usr0005@dTA.org,450000.0,memo.docx
EML0000043,01/01/2026 15:09:10,USR0005,PC-USR0005-01,colleague3@dTA.org,,,usr0005@dTA.org,450000.0,
EML0000044,01/01/2026 11:46:28,USR0005,PC-USR0005-01,colleague1@dTA.org,,,usr0005@dTA.org,450000.0,
EML0000045,01/01/2026 12:28:39,USR0005,PC-USR0005-01,colleague5@dTA.org,,,usr0005@dTA.org,450000.0,
EML0000046,01/01/2026 16:14:34,USR0005,PC-USR0005-01,colleague4@dTA.org,,,usr0005@dTA.org,450000.0,
EML0000047,01/01/2026 11:20:59,USR0006,PC-USR0006-01,colleague10@dTA.org,,,usr0006@dTA.org,450000.0,
EML0000048,01/01/2026 15:39:47,USR0006,PC-USR0006-01,colleague5@dTA.org,,,usr0006@dTA.org,450000.0,
EML0000049,01/01/2026 16:45:36,USR0006,PC-USR0006-01,colleague5@dTA.org,,,usr0006@dTA.org,450000.0,
EML0000050,01/01/2026 09:23:21,USR0006,PC-USR0006-01,colleague2@dTA.org,,,usr0006@dTA.org,450000.0,
EML0000051,01/01/2026 13:50:57,USR0006,PC-USR0006-01,colleague1@dTA.org,,,usr0006@dTA.org,450000.0,
EML0000052,01/01/2026 13:41:50,USR0006,PC-USR0006-01,colleague10@dTA.org,,,usr0006@dTA.org,450000.0,
EML0000053,01/01/2026 09:37:30,USR0006,PC-USR0006-01,colleague3@dTA.org,,,usr0006@dTA.org,450000.0,
EML0000054,01/01/2026 15:09:52,USR0006,PC-USR0006-01,colleague4@dTA.org,,,usr0006@dTA.org,450000.0,memo.docx
EML0000055,01/01/2026 10:12:01,USR0006,PC-USR0006-01,colleague8@dTA.org,,,usr0006@dTA.org,450000.0,
EML0000056,01/01/2026 11:26:44,USR0006,PC-USR0006-01,colleague4@dTA.org,,,usr0006@dTA.org,450000.0,
EML0000057,01/01/2026 16:55:54,USR0006,PC-USR0006-01,colleague1@dTA.org,,,usr0006@dTA.org,450000.0,
EML0000058,01/01/2026 12:35:20,USR0006,PC-USR0006-01,colleague8@dTA.org,,,usr0006@dTA.org,450000.0,
EML0000059,01/01/2026 15:05:43,USR0007,PC-USR0007-01,colleague9@dTA.org,,,usr0007@dTA.org,450000.0,memo.docx
EML0000060,01/01/2026 14:07:11,USR0007,PC-USR0007-01,colleague9@dTA.org,,,usr0007@dTA.org,450000.0,
EML0000061,01/01/2026 11:46:14,USR0007,PC-USR0007-01,colleague1@dTA.org,,,usr0007@dTA.org,450000.0,
EML0000062,01/01/2026 13:29:43,USR0007,PC-USR0007-01,colleague9@dTA.org,,,usr0007@dTA.org,450000.0,
EML0000063,01/01/2026 15:52:14,USR0007,PC-USR0007-01,colleague4@dTA.org,,,usr0007@dTA.org,450000.0,
EML0000064,01/01/2026 11:17:12,USR0007,PC-USR0007-01,colleague2@dTA.org,,,usr0007@dTA.org,450000.0,memo.docx
EML0000065,01/01/2026 15:39:49,USR0007,PC-USR0007-01,colleague1@dTA.org,,,usr0007@dTA.org,450000.0,
EML0000066,01/01/2026 10:06:38,USR0007,PC-USR0007-01,colleague1@dTA.org,,,usr0007@dTA.org,450000.0,
EML0000067,01/01/2026 09:15:47,USR0007,PC-USR0007-01,colleague1@dTA.org,,,usr0007@dTA.org,450000.0,
EML0000068,01/01/2026 12:34:13,USR0007,PC-USR0007-01,colleague1@dTA.org,,,usr0007@dTA.org,450000.0,memo.docx
EML0000069,01/01/2026 10:19:02,USR0008,PC-USR0008-01,colleague2@dTA.org,,,usr0008@dTA.org,450000.0,memo.docx
EML0000070,01/01/2026 14:41:06,USR0008,PC-USR0008-01,colleague3@dTA.org,,,usr0008@dTA.org,450000.0,
EML0000071,01/01/2026 12:33:11,USR0008,PC-USR0008-01,colleague9@dTA.org,,,usr0008@dTA.org,450000.0,memo.docx
EML0000072,01/01/2026 15:29:14,USR0008,PC-USR0008-01,colleague7@dTA.org,,,usr0008@dTA.org,450000.0,
EML0000073,01/01/2026 11:40:42,USR0008,PC-USR0008-01,colleague7@dTA.org,,,usr0008@dTA.org,450000.0,
EML0000074,01/01/2026 12:28:37,USR0008,PC-USR0008-01,colleague7@dTA.org,,,usr0008@dTA.org,450000.0,
EML0000075,01/01/2026 12:13:17,USR0008,PC-USR0008-01,colleague2@dTA.org,,,usr0008@dTA.org,450000.0,
EML0000076,01/01/2026 11:23:20,USR0008,PC-USR0008-01,colleague4@dTA.org,,,usr0008@dTA.org,450000.0,
EML0000077,01/01/2026 13:42:55,USR0008,PC-USR0008-01,colleague8@dTA.org,,,usr0008@dTA.org,450000.0,
EML0000078,01/01/2026 09:27:42,USR0009,PC-USR0009-01,colleague3@dTA.org,,,usr0009@dTA.org,450000.0,
EML0000079,01/01/2026 13:54:20,USR0009,PC-USR0009-01,colleague7@dTA.org,,,usr0009@dTA.org,450000.0,
EML0000080,01/01/2026 14:20:28,USR0009,PC-USR0009-01,colleague5@dTA.org,,,usr0009@dTA.org,450000.0,
EML0000081,01/01/2026 12:08:49,USR0009,PC-USR0009-01,colleague10@dTA.org,,,usr0009@dTA.org,450000.0,memo.docx
EML0000082,01/01/2026 10:10:28,USR0009,PC-USR0009-01,colleague8@dTA.org,,,usr0009@dTA.org,450000.0,
EML0000083,01/01/2026 15:28:46,USR0010,PC-USR0010-01,colleague7@dTA.org,,,usr0010@dTA.org,450000.0,
EML0000084,01/01/2026 15:31:56,USR0010,PC-USR0010-01,colleague7@dTA.org,,,usr0010@dTA.org,450000.0,
EML0000085,01/01/2026 15:06:53,USR0010,PC-USR0010-01,colleague8@dTA.org,,,usr0010@dTA.org,450000.0,
EML0000086,01/01/2026 12:10:28,USR0010,PC-USR0010-01,colleague2@dTA.org,,,usr0010@dTA.org,450000.0,
EML0000087,01/01/2026 10:18:07,USR0011,PC-USR0011-01,colleague2@dTA.org,,,usr0011@dTA.org,450000.0,
EML0000088,01/01/2026 12:49:16,USR0011,PC-USR0011-01,colleague9@dTA.org,,,usr0011@dTA.org,450000.0,
EML0000089,01/01/2026 14:45:26,USR0011,PC-USR0011-01,colleague5@dTA.org,,,usr0011@dTA.org,450000.0,memo.docx
EML0000090,01/01/2026 16:58:13,USR0011,PC-USR0011-01,colleague8@dTA.org,,,usr0011@dTA.org,450000.0,
EML0000091,01/01/2026 09:00:42,USR0011,PC-USR0011-01,colleague2@dTA.org,,,usr0011@dTA.org,450000.0,
EML0000092,01/01/2026 16:09:05,USR0011,PC-USR0011-01,colleague9@dTA.org,,,usr0011@dTA.org,450000.0,memo.docx
EML0000093,01/01/2026 10:57:16,USR0011,PC-USR0011-01,colleague4@dTA.org,,,usr0011@dTA.org,450000.0,
EML0000094,01/01/2026 13:16:29,USR0011,PC-USR0011-01,colleague1@dTA.org,,,usr0011@dTA.org,450000.0,memo.docx
EML0000095,01/01/2026 11:55:02,USR0011,PC-USR0011-01,colleague5@dTA.org,,,usr0011@dTA.org,450000.0,
EML0000096,01/01/2026 14:27:47,USR0011,PC-USR0011-01,colleague2@dTA.org,,,usr0011@dTA.org,450000.0,memo.docx
EML0000097,01/01/2026 09:00:54,USR0011,PC-USR0011-01,colleague3@dTA.org,,,usr0011@dTA.org,450000.0,
EML0000098,01/01/2026 11:21:22,USR0011,PC-USR0011-01,colleague8@dTA.org,,,usr0011@dTA.org,450000.0,
EML0000099,01/01/2026 10:02:00,USR0012,PC-USR0012-01,colleague10@dTA.org,,,usr0012@dTA.org,450000.0,
EML0000100,01/01/2026 10:19:13,USR0012,PC-USR0012-01,colleague6@dTA.org,,,usr0012@dTA.org,450000.0,
EML0000101,01/01/2026 11:10:11,USR0012,PC-USR0012-01,colleague4@dTA.org,,,usr0012@dTA.org,450000.0,
EML0000102,01/01/2026 13:12:07,USR0012,PC-USR0012-01,colleague3@dTA.org,,,usr0012@dTA.org,450000.0,
EML0000103,01/01/2026 09:54:48,USR0012,PC-USR0012-01,colleague9@dTA.org,,,usr0012@dTA.org,450000.0,
EML0000104,01/01/2026 10:18:42,USR0012,PC-USR0012-01,colleague2@dTA.org,,,usr0012@dTA.org,450000.0,
EML0000105,01/01/2026 12:53:15,USR0013,PC-USR0013-01,colleague10@dTA.org,,,usr0013@dTA.org,450000.0,
EML0000106,01/01/2026 10:07:58,USR0013,PC-USR0013-01,colleague2@dTA.org,,,usr0013@dTA.org,450000.0,
EML0000107,01/01/2026 16:39:00,USR0013,PC-USR0013-01,colleague9@dTA.org,,,usr0013@dTA.org,450000.0,
EML0000108,01/01/2026 16:23:39,USR0013,PC-USR0013-01,colleague6@dTA.org,,,usr0013@dTA.org,450000.0,
EML0000109,01/01/2026 13:31:11,USR0013,PC-USR0013-01,colleague9@dTA.org,,,usr0013@dTA.org,450000.0,
EML0000110,01/01/2026 12:48:36,USR0013,PC-USR0013-01,colleague3@dTA.org,,,usr0013@dTA.org,450000.0,memo.docx
EML0000111,01/01/2026 15:30:34,USR0013,PC-USR0013-01,colleague1@dTA.org,,,usr0013@dTA.org,450000.0,
EML0000112,01/01/2026 12:36:11,USR0014,PC-USR0014-01,colleague9@dTA.org,,,usr0014@dTA.org,450000.0,
EML0000113,01/01/2026 16:17:55,USR0014,PC-USR0014-01,colleague10@dTA.org,,,usr0014@dTA.org,450000.0,
EML0000114,01/01/2026 11:04:33,USR0014,PC-USR0014-01,colleague3@dTA.org,,,usr0014@dTA.org,450000.0,
EML0000115,01/01/2026 13:34:23,USR0014,PC-USR0014-01,colleague8@dTA.org,,,usr0014@dTA.org,450000.0,memo.docx
EML0000116,01/01/2026 15:46:11,USR0014,PC-USR0014-01,colleague1@dTA.org,,,usr0014@dTA.org,450000.0,
EML0000117,01/01/2026 14:49:39,USR0014,PC-USR0014-01,colleague4@dTA.org,,,usr0014@dTA.org,450000.0,
EML0000118,01/01/2026 10:42:34,USR0014,PC-USR0014-01,colleague7@dTA.org,,,usr0014@dTA.org,450000.0,memo.docx
EML0000119,01/01/2026 16:49:35,USR0014,PC-USR0014-01,colleague3@dTA.org,,,usr0014@dTA.org,450000.0,
EML0000120,01/01/2026 14:26:41,USR0014,PC-USR0014-01,colleague6@dTA.org,,,usr0014@dTA.org,450000.0,memo.docx
EML0000121,01/01/2026 10:02:53,USR0014,PC-USR0014-01,colleague3@dTA.org,,,usr0014@dTA.org,450000.0,memo.docx
EML0000122,01/01/2026 09:12:06,USR0014,PC-USR0014-01,colleague8@dTA.org,,,usr0014@dTA.org,450000.0,memo.docx
EML0000123,01/01/2026 15:26:20,USR0015,PC-USR0015-01,colleague8@dTA.org,,,usr0015@dTA.org,450000.0,memo.docx
EML0000124,01/01/2026 16:37:57,USR0015,PC-USR0015-01,colleague4@dTA.org,,,usr0015@dTA.org,450000.0,
EML0000125,01/01/2026 10:16:20,USR0015,PC-USR0015-01,colleague3@dTA.org,,,usr0015@dTA.org,450000.0,
EML0000126,01/01/2026 10:05:07,USR0015,PC-USR0015-01,colleague8@dTA.org,,,usr0015@dTA.org,450000.0,
EML0000127,01/01/2026 10:33:45,USR0015,PC-USR0015-01,colleague7@dTA.org,,,usr0015@dTA.org,450000.0,
EML0000128,01/01/2026 11:24:35,USR0015,PC-USR0015-01,colleague7@dTA.org,,,usr0015@dTA.org,450000.0,memo.docx
EML0000129,01/01/2026 11:04:19,USR0016,PC-USR0016-01,colleague10@dTA.org,,,usr0016@dTA.org,450000.0,
EML0000130,01/01/2026 16:03:08,USR0016,PC-USR0016-01,colleague1@dTA.org,,,usr0016@dTA.org,450000.0,
EML0000131,01/01/2026 09:06:24,USR0016,PC-USR0016-01,colleague1@dTA.org,,,usr0016@dTA.org,450000.0,memo.docx
EML0000132,01/01/2026 15:11:45,USR0016,PC-USR0016-01,colleague10@dTA.org,,,usr0016@dTA.org,450000.0,
EML0000133,01/01/2026 16:39:22,USR0016,PC-USR0016-01,colleague5@dTA.org,,,usr0016@dTA.org,450000.0,
EML0000134,01/01/2026 12:45:48,USR0016,PC-USR0016-01,colleague9@dTA.org,,,usr0016@dTA.org,450000.0,memo.docx
EML0000135,01/01/2026 16:36:08,USR0016,PC-USR0016-01,colleague2@dTA.org,,,usr0016@dTA.org,450000.0,
EML0000136,01/01/2026 13:25:03,USR0017,PC-USR0017-01,colleague2@dTA.org,,,usr0017@dTA.org,450000.0,
EML0000137,01/01/2026 14:05:53,USR0017,PC-USR0017-01,colleague8@dTA.org,,,usr0017@dTA.org,450000.0,
EML0000138,01/01/2026 13:41:12,USR0017,PC-USR0017-01,colleague3@dTA.org,,,usr0017@dTA.org,450000.0,
EML0000139,01/01/2026 15:42:12,USR0017,PC-USR0017-01,colleague5@dTA.org,,,usr0017@dTA.org,450000.0,
EML0000140,01/01/2026 10:40:44,USR0017,PC-USR0017-01,colleague6@dTA.org,,,usr0017@dTA.org,450000.0,
EML0000141,01/01/2026 16:47:12,USR0017,PC-USR0017-01,colleague3@dTA.org,,,usr0017@dTA.org,450000.0,memo.docx
EML0000142,01/01/2026 09:46:37,USR0017,PC-USR0017-01,colleague4@dTA.org,,,usr0017@dTA.org,450000.0,
EML0000143,01/01/2026 10:50:34,USR0017,PC-USR0017-01,colleague5@dTA.org,,,usr0017@dTA.org,450000.0,
EML0000144,01/01/2026 16:01:02,USR0017,PC-USR0017-01,colleague6@dTA.org,,,usr0017@dTA.org,450000.0,memo.docx
EML0000145,01/01/2026 10:46:30,USR0018,PC-USR0018-01,colleague1@dTA.org,,,usr0018@dTA.org,450000.0,memo.docx
EML0000146,01/01/2026 10:19:01,USR0018,PC-USR0018-01,colleague7@dTA.org,,,usr0018@dTA.org,450000.0,
EML0000147,01/01/2026 12:28:22,USR0018,PC-USR0018-01,colleague2@dTA.org,,,usr0018@dTA.org,450000.0,
EML0000148,01/01/2026 12:37:33,USR0018,PC-USR0018-01,colleague4@dTA.org,,,usr0018@dTA.org,450000.0,
EML0000149,01/01/2026 13:12:01,USR0018,PC-USR0018-01,colleague2@dTA.org,,,usr0018@dTA.org,450000.0,
EML0000150,01/01/2026 16:43:42,USR0018,PC-USR0018-01,colleague2@dTA.org,,,usr0018@dTA.org,450000.0,
EML0000151,01/01/2026 15:12:31,USR0018,PC-USR0018-01,colleague6@dTA.org,,,usr0018@dTA.org,450000.0,
EML0000152,01/01/2026 09:58:42,USR0018,PC-USR0018-01,colleague6@dTA.org,,,usr0018@dTA.org,450000.0,
EML0000153,01/01/2026 15:23:24,USR0018,PC-USR0018-01,colleague6@dTA.org,,,usr0018@dTA.org,450000.0,memo.docx
EML0000154,01/01/2026 09:25:16,USR0019,PC-USR0019-01,colleague8@dTA.org,,,usr0019@dTA.org,450000.0,
EML0000155,01/01/2026 15:39:43,USR0019,PC-USR0019-01,colleague6@dTA.org,,,usr0019@dTA.org,450000.0,
EML0000156,01/01/2026 13:20:03,USR0019,PC-USR0019-01,colleague1@dTA.org,,,usr0019@dTA.org,450000.0,
EML0000157,01/01/2026 11:53:23,USR0019,PC-USR0019-01,colleague6@dTA.org,,,usr0019@dTA.org,450000.0,
EML0000158,01/01/2026 09:48:57,USR0019,PC-USR0019-01,colleague6@dTA.org,,,usr0019@dTA.org,450000.0,
EML0000159,01/01/2026 15:22:22,USR0019,PC-USR0019-01,colleague7@dTA.org,,,usr0019@dTA.org,450000.0,
EML0000160,01/01/2026 12:15:15,USR0019,PC-USR0019-01,colleague5@dTA.org,,,usr0019@dTA.org,450000.0,
EML0000161,01/01/2026 10:55:19,USR0019,PC-USR0019-01,colleague2@dTA.org,,,usr0019@dTA.org,450000.0,
EML0000162,01/01/2026 09:34:20,USR0019,PC-USR0019-01,colleague1@dTA.org,,,usr0019@dTA.org,450000.0,
EML0000163,01/01/2026 15:36:32,USR0019,PC-USR0019-01,colleague7@dTA.org,,,usr0019@dTA.org,450000.0,
EML0000164,01/01/2026 16:37:01,USR0019,PC-USR0019-01,colleague6@dTA.org,,,usr0019@dTA.org,450000.0,
EML0000165,01/01/2026 15:20:36,USR0019,PC-USR0019-01,colleague2@dTA.org,,,usr0019@dTA.org,450000.0,
EML0000166,01/01/2026 09:33:49,USR0020,PC-USR0020-01,colleague10@dTA.org,,,usr0020@dTA.org,450000.0,memo.docx
EML0000167,01/01/2026 10:15:49,USR0020,PC-USR0020-01,colleague8@dTA.org,,,usr0020@dTA.org,450000.0,
EML0000168,01/01/2026 14:01:18,USR0020,PC-USR0020-01,colleague2@dTA.org,,,usr0020@dTA.org,450000.0,
EML0000169,01/01/2026 10:53:20,USR0020,PC-USR0020-01,colleague3@dTA.org,,,usr0020@dTA.org,450000.0,memo.docx
EML0000170,01/01/2026 16:53:45,USR0020,PC-USR0020-01,colleague8@dTA.org,,,usr0020@dTA.org,450000.0,
EML0000171,01/01/2026 13:38:42,USR0020,PC-USR0020-01,colleague1@dTA.org,,,usr0020@dTA.org,450000.0,
EML0000172,01/01/2026 09:41:39,USR0020,PC-USR0020-01,colleague8@dTA.org,,,usr0020@dTA.org,450000.0,
EML0000173,01/01/2026 13:44:47,USR0021,PC-USR0021-01,colleague2@dTA.org,,,usr0021@dTA.org,450000.0,
EML0000174,01/01/2026 11:11:12,USR0021,PC-USR0021-01,colleague3@dTA.org,,,usr0021@dTA.org,450000.0,
EML0000175,01/01/2026 10:50:26,USR0021,PC-USR0021-01,colleague8@dTA.org,,,usr0021@dTA.org,450000.0,
EML0000176,01/01/2026 12:35:03,USR0021,PC-USR0021-01,colleague1@dTA.org,,,usr0021@dTA.org,450000.0,
EML0000177,01/01/2026 13:22:43,USR0021,PC-USR0021-01,colleague3@dTA.org,,,usr0021@dTA.org,450000.0,memo.docx
EML0000178,01/01/2026 09:51:04,USR0021,PC-USR0021-01,colleague6@dTA.org,,,usr0021@dTA.org,450000.0,
EML0000179,01/01/2026 12:07:35,USR0021,PC-USR0021-01,colleague4@dTA.org,,,usr0021@dTA.org,450000.0,
EML0000180,01/01/2026 10:35:22,USR0022,PC-USR0022-01,colleague2@dTA.org,,,usr0022@dTA.org,450000.0,
EML0000181,01/01/2026 15:30:36,USR0022,PC-USR0022-01,colleague5@dTA.org,,,usr0022@dTA.org,450000.0,
EML0000182,01/01/2026 14:50:24,USR0022,PC-USR0022-01,colleague8@dTA.org,,,usr0022@dTA.org,450000.0,
EML0000183,01/01/2026 11:48:08,USR0022,PC-USR0022-01,colleague9@dTA.org,,,usr0022@dTA.org,450000.0,
EML0000184,01/01/2026 10:37:08,USR0023,PC-USR0023-01,colleague2@dTA.org,,,usr0023@dTA.org,450000.0,memo.docx
EML0000185,01/01/2026 12:56:33,USR0023,PC-USR0023-01,colleague5@dTA.org,,,usr0023@dTA.org,450000.0,memo.docx
EML0000186,01/01/2026 09:44:43,USR0023,PC-USR0023-01,colleague9@dTA.org,,,usr0023@dTA.org,450000.0,
EML0000187,01/01/2026 16:00:27,USR0023,PC-USR0023-01,colleague1@dTA.org,,,usr0023@dTA.org,450000.0,
EML0000188,01/01/2026 14:27:54,USR0023,PC-USR0023-01,colleague7@dTA.org,,,usr0023@dTA.org,450000.0,
EML0000189,01/01/2026 16:31:23,USR0023,PC-USR0023-01,colleague9@dTA.org,,,usr0023@dTA.org,450000.0,
EML0000190,01/01/2026 14:15:03,USR0024,PC-USR0024-01,colleague5@dTA.org,,,usr0024@dTA.org,450000.0,
EML0000191,01/01/2026 16:13:46,USR0024,PC-USR0024-01,colleague2@dTA.org,,,usr0024@dTA.org,450000.0,
EML0000192,01/01/2026 10:10:32,USR0024,PC-USR0024-01,colleague7@dTA.org,,,usr0024@dTA.org,450000.0,
EML0000193,01/01/2026 14:31:33,USR0024,PC-USR0024-01,colleague8@dTA.org,,,usr0024@dTA.org,450000.0,memo.docx
EML0000194,01/01/2026 14:33:44,USR0024,PC-USR0024-01,colleague8@dTA.org,,,usr0024@dTA.org,450000.0,
EML0000195,01/01/2026 16:30:17,USR0024,PC-USR0024-01,colleague10@dTA.org,,,usr0024@dTA.org,450000.0,
EML0000196,01/01/2026 10:01:26,USR0025,PC-USR0025-01,colleague1@dTA.org,,,usr0025@dTA.org,450000.0,
EML0000197,01/01/2026 14:52:12,USR0025,PC-USR0025-01,colleague2@dTA.org,,,usr0025@dTA.org,450000.0,
EML0000198,01/01/2026 10:51:53,USR0025,PC-USR0025-01,colleague3@dTA.org,,,usr0025@dTA.org,450000.0,
EML0000199,01/01/2026 09:26:32,USR0025,PC-USR0025-01,colleague2@dTA.org,,,usr0025@dTA.org,450000.0,
EML0000200,01/01/2026 14:35:40,USR0025,PC-USR0025-01,colleague4@dTA.org,,,usr0025@dTA.org,450000.0,
EML0000201,01/01/2026 15:27:07,USR0025,PC-USR0025-01,colleague4@dTA.org,,,usr0025@dTA.org,450000.0,
EML0000202,01/01/2026 14:20:11,USR0025,PC-USR0025-01,colleague1@dTA.org,,,usr0025@dTA.org,450000.0,
EML0000203,01/02/2026 10:40:36,AAE0190,PC-AAE0190-01,colleague6@dTA.org,,,aae0190@dTA.org,450000.0,
EML0000204,01/02/2026 13:47:13,AAE0190,PC-AAE0190-01,colleague7@dTA.org,,,aae0190@dTA.org,450000.0,
EML0000205,01/02/2026 09:10:52,AAE0190,PC-AAE0190-01,colleague8@dTA.org,,,aae0190@dTA.org,450000.0,memo.docx
EML0000206,01/02/2026 10:49:44,AAE0190,PC-AAE0190-01,colleague7@dTA.org,,,aae0190@dTA.org,450000.0,
EML0000207,01/02/2026 13:46:27,AAE0190,PC-AAE0190-01,colleague3@dTA.org,,,aae0190@dTA.org,450000.0,memo.docx
EML0000208,01/02/2026 10:17:54,USR0002,PC-USR0002-01,colleague10@dTA.org,,,usr0002@dTA.org,450000.0,
EML0000209,01/02/2026 12:31:18,USR0002,PC-USR0002-01,colleague7@dTA.org,,,usr0002@dTA.org,450000.0,memo.docx
EML0000210,01/02/2026 14:09:52,USR0002,PC-USR0002-01,colleague4@dTA.org,,,usr0002@dTA.org,450000.0,
EML0000211,01/02/2026 12:44:47,USR0002,PC-USR0002-01,colleague1@dTA.org,,,usr0002@dTA.org,450000.0,
EML0000212,01/02/2026 11:54:31,USR0002,PC-USR0002-01,colleague7@dTA.org,,,usr0002@dTA.org,450000.0,
EML0000213,01/02/2026 11:01:35,USR0002,PC-USR0002-01,colleague7@dTA.org,,,usr0002@dTA.org,450000.0,
EML0000214,01/02/2026 16:22:48,USR0002,PC-USR0002-01,colleague7@dTA.org,,,usr0002@dTA.org,450000.0,
